source,target,prediction
Walter F. Tichy,Abdellah Benzaouia,N
Carlos José Pereira de Lucena,Abdellah Benzaouia,N
Philippe Thomas 0001,Abdellah El Moudni,P
Joeri Engelfriet,Abdellah El Moudni,N
Nicoletta De Francesco,Abdellah El Moudni,N
Samuel L. Braunstein,Abdellah El Moudni,N
Hans-Jürgen Zimmermann,Abdollah Khodkar,N
Tim Teitelbaum,Abdollah Khodkar,N
Bonnie Rubenstein-Montano,Abdul-Majid Wazwaz,N
Achille Pattavina,Abdul-Majid Wazwaz,N
John W. Raymond,Abdul-Majid Wazwaz,N
Christine L. Borgman,Abdul-Majid Wazwaz,N
Andreas Abecker,Abdul-Majid Wazwaz,N
Richard D. Wesel,Abeer Alwan,P
Xueting Liu,Abeer Alwan,P
Gabriel Sandu,Abeer Alwan,N
Yervant Zorian,Abhijit Chatterjee,P
Donald Sannella,Abhijit Chatterjee,N
Yunmin Zhu,Abhijit Chatterjee,N
Chin-Tau Lea,Abigail Sellen,N
Vijayan K. Asari,Abigail Sellen,N
Alexander Schliep,Abigail Sellen,N
José M. Pousada Carballo,Abigail Sellen,N
Yasser M. Kadah,Abou Bakr M. Youssef,P
Dolores Romero Morales,Abou Bakr M. Youssef,N
Gobinda G. Chowdhury,Abou Bakr M. Youssef,N
Wan Choi,Abou Bakr M. Youssef,N
Steffen Staab,Abraham Bookstein,N
Daizhan Cheng,Abraham Bookstein,N
Eduardo Sany Laber,Abraham Bookstein,N
Mahadev Satyanarayanan,Abraham Bookstein,N
Horia-Nicolai L. Teodorescu,Abraham Kandel,P
Lawrence O. Hall,Abraham Kandel,P
Mark Last,Abraham Kandel,P
Oded Maimon,Abraham Kandel,P
Dominique Barba,Abraham Kandel,N
Hualou Liang,Abraham Kandel,N
Victor Maojo,Abraham Kandel,N
H. Christian Davidson,Abraham Kandel,N
Mariano Alcañiz Raya,Abraham Kandel,N
Tapio Elomaa,Abraham Mehrez,N
Bu-Sung Lee,Abraham Mehrez,N
John K. Tsotsos,Abraham Mehrez,N
Archan Misra,Abraham Mehrez,N
Kaoru Kurosawa,Abraham Seidmann,N
Brendan McCane,Abraham Seidmann,N
Erwin Just,Abraham Silberschatz,N
Martin Strauss 0001,Achille Pattavina,N
Arthur Ramer,Achim G. Hoffmann,P
Edward W. Knightly,Achim G. Hoffmann,N
Marcus Poggi de Aragão,Achim Ilchmann,N
Encarna Segarra,Achim Ilchmann,N
Ching-Chang Wong,Achim Ilchmann,N
Giuseppe Iannaccone,Achim Ilchmann,N
Alain Hertz,Achim Ilchmann,N
Frank Werner 0001,Achim Ilchmann,N
James H. Bramble,Achour Mostéfaoui,N
Paul Dupuis,Achour Mostéfaoui,N
Hiroshi Kobayashi,Achour Mostéfaoui,N
Adam J. Grove,Ad Aertsen,N
Jiang Zhu,Ad Aertsen,N
Ruqian Lu,Ad Aertsen,N
Andrea Bianco,Ad Aertsen,N
Hyung-Il Choi,Adam B. Levy,N
Arnoud Visser,Adam Belloum,P
César Garita,Adam Belloum,P
Hamideh Afsarmanesh,Adam Belloum,P
Jack H. Lutz,Adam Belloum,N
Hong Yan 0002,Adam Belloum,N
Bruce E. Hajek,Adam Belloum,N
Patrizia Beraldi,Adam Belloum,N
Andrzej Swierniak,Adam Czornik,P
Chia-Hoang Lee,Adam D. Smith,N
Robert F. Harrison,Adam D. Smith,N
A. Gunasekaran,Adam D. Smith,N
Etienne de Klerk,Adam Finkelstein,N
Dimitris Papadias,Adam Finkelstein,N
Matt Jones 0001,Adam Finkelstein,N
Dan Suciu,Adam Finkelstein,N
Hitoshi Katayama,Adam Finkelstein,N
Doron A. Peled,Adam J. Grove,N
Tamaki Ura,Adam J. Grove,N
C. T. Ng,Adam Janiak,P
Brian Alspach,Adam Janiak,N
Rafail Ostrovsky,Adam Janiak,N
Dominique Orban,Adam L. Buchsbaum,N
Jamie Simpson,Adam L. Buchsbaum,N
Djemel Ziou,Adam L. Buchsbaum,N
Daniel Krob,Adam L. Buchsbaum,N
Steven D. Blostein,Adam Liwo,N
Arieh Iserles,Adam Liwo,N
Cheng Chen,Adam Liwo,N
Gurdeep S. Hura,Adam Liwo,N
Andrea Lodi 0001,Adam N. Letchford,P
Cishen Zhang,Adam N. Letchford,N
Martin I. Reiman,Adam Shwartz,P
Erkan Zergeroglu,Adam Shwartz,N
I. R. Goodman,Adam Shwartz,N
Dimitrios Soudris,Adam Shwartz,N
Dong-Hui Li,Adam Shwartz,N
Martin Reisslein,Adam Wolisz,P
Prathima Agrawal,Adam Wolisz,P
David G. Kirkpatrick,Adam Wolisz,N
Bambi Hu,Adam Wolisz,N
Brian Knight,Adedeji B. Badiru,N
Juan de Lara,Adedeji B. Badiru,N
Prashant C. Palvia,Adel M. Aladwani,P
David Kortenkamp,Adel M. Aladwani,N
Cécile André,Adel M. Aladwani,N
Nicolas Le Novère,Adel M. Aladwani,N
Giacomo Indiveri,Adel M. Alimi,N
Walter W. C. Chung,Adel M. Alimi,N
L. Darrell Whitley,Adele E. Howe,P
Xiaobo Sharon Hu,Adele E. Howe,N
Jacques André,Adele E. Howe,N
Alexander I. Barvinok,Adele Goldberg,N
David Terman,Adele Goldberg,N
Patrizia Beraldi,Adele Goldberg,N
Nohpill Park,Adhemar Bultheel,N
Oliver Riordan,Adhemar Bultheel,N
Wim Magnus,Adhemar Bultheel,N
Giulio Colavolpe,Adi Ben-Israel,N
Silja Renooij,Adi Ben-Israel,N
Chung-Lun Li,Adi Rosén,N
Meera Sitharam,Adi Rosén,N
Gérard Ligozat,Adib Y. Nashashibi,N
Andreas Junghanns,Adib Y. Nashashibi,N
Michael I. Jordan,Adib Y. Nashashibi,N
Andrew R. Nix,Adib Y. Nashashibi,N
Alexander M. Rubinov,Adil M. Bagirov,P
Qing Li 0001,Adil M. Bagirov,N
Anthony N. Burkitt,Adil M. Bagirov,N
Krishnendu Chakrabarty,Adil M. Bagirov,N
Leon Zlajpah,Aditya P. Mathur,N
Jitendra Malik,Adnan Al-Smadi,N
Simon K. Warfield,Adnan Al-Smadi,N
Arkadi Nemirovski,Adnan Al-Smadi,N
José C. Segura,Adnan Al-Smadi,N
Stephen T. Quay,Adnan Al-Smadi,N
Daniel O. Awduche,Adnan Al-Smadi,N
Christos A. Ouzounis,Adnan Aziz,N
Pierre Marquis,Adnan Darwiche,P
Horst Martini,Adnan Darwiche,N
Sven Oliver Krumke,Adnan Darwiche,N
Heribert Vollmer,Adnan Darwiche,N
Marie-Francine Moens,Adoración Rueda,N
Wan Kyun Chung,Adoración Rueda,N
Emina Soljanin,Adriaan J. de Lind van Wijngaarden,P
Alberto Maria Segre,Adriaan J. de Lind van Wijngaarden,N
Alexandru Mateescu,Adrian Atanasiu,P
Anne Goulding,Adrian Atanasiu,N
Yves Moreau,Adrian Atanasiu,N
Sandra Augusta Santos,Adrian Dale,N
Alexander Serebrenik,Adrian Dale,N
Erkan Zergeroglu,Adrian Dale,N
Reinaldo A. Valenzuela,Adrian Dale,N
Nevenka Dimitrova,Adrian Dale,N
Joseph P. Macker,Adrian Dale,N
Hirokazu Kato,Adrian David Cheok,P
Mark Billinghurst,Adrian David Cheok,P
Eli Gafni,Adrian David Cheok,N
David Horn,Adrian David Cheok,N
Huaglory Tianfield,Adrian David Cheok,N
Mohamed Zairi,Adrian David Cheok,N
Mahbub Hassan,Adrian David Cheok,N
Bernd Gärtner,Adrian Dumitrescu,P
Emo Welzl,Adrian Dumitrescu,P
Géza Tóth,Adrian Dumitrescu,P
Varun Grover,Adrian Dumitrescu,N
Hanah Margalit,Adrian Dumitrescu,N
Stéphan Thomassé,Adrian Dumitrescu,N
John Mingers,Adrian Dumitrescu,N
Walter L. Ruzzo,Adrian E. Raftery,P
G. Michele Pinna,Adrian E. Raftery,N
Mohamed Siala 0001,Adrian E. Raftery,N
Shichao Zhang,Adrian Friday,N
Komei Fukuda,Adrian Friday,N
M. Manzur Murshed,Adrian Friday,N
Pascal Fua,Adrian Hilton,P
Sorin G. Gal,Adrian I. Ban,P
Rong-Jaye Chen,Adrian I. Ban,N
Fumitoshi Matsuno,Adrian I. Ban,N
Ashwini K. Nanda,Adrian I. Ban,N
Christine A. Orengo,Adrian J. Shepherd,P
James V. Burke,Adrian S. Lewis,P
Michael L. Overton,Adrian S. Lewis,P
Arieh Iserles,Adrian S. Lewis,N
Tobias Schröder,Adrian S. Lewis,N
C. F. Jeff Wu,Adrian S. Lewis,N
Tingjun Hou,Adrian Stoica,N
Zoubin Ghahramani,Adrian Stoica,N
Dominik Schötzau,Adrian Stoica,N
Toyohisa Kaneko,Adriana Iamnitchi,N
Wen-June Wang,Adriano Camps,N
Srinivas Devadas,Adriano Camps,N
Eugene V. Koonin,Adriano Camps,N
Kimon P. Valavanis,Adriano Camps,N
Andy Jones,Adriano Camps,N
József Beck,Adriano Peron,N
Girish Keshav Palshikar,Adriano Peron,N
Valeria De Antonellis,Adriano Peron,N
Bo Li 0001,Adriano Valenzano,N
Rutger F. H. Hofman,Adriano Valenzano,N
Brian P. Brunk,Adriano Valenzano,N
Masakiyo Miyazawa,Adrienne Muir,N
Alan L. Selman,Aduri Pavan,P
Lance Fortnow,Aduri Pavan,P
Dino Pedreschi,Aduri Pavan,N
Francisco J. Prieto,Aduri Pavan,N
Jarkko Kari,Aduri Pavan,N
Jérôme Galtier,Afonso Ferreira,P
Bogdan Gabrys,Afonso Ferreira,N
Roberto Cipolla,Afsar Saranli,N
Kim S. Larsen,Afsar Saranli,N
Reginald L. Lagendijk,Afsar Saranli,N
Thrasyvoulos N. Pappas,Aggelos K. Katsaggelos,P
Punam K. Saha,Aggelos K. Katsaggelos,N
Varmo Vene,Aggelos K. Katsaggelos,N
Riccardo Focardi,Agostino Cortesi,P
Gerhard Fischer,Agostino Cortesi,N
Tughrul Arslan,Agostino Cortesi,N
Robert Glück,Agostino Cortesi,N
Agostino Cortesi,Agostino Dovier,P
Evangelos Grigoroudis,Agostino G. Bruzzone,N
Mignon Park,Agostino G. Bruzzone,N
Ron Sun,Agostino G. Bruzzone,N
Giovanni Rimassa,Agostino Poggi,P
Eduardo D. Sontag,Agostino Poggi,N
Patric R. J. Östergård,Agostino Poggi,N
Santosh N. Kabadi,Agostino Poggi,N
Norman E. Fenton,Agostino Poggi,N
Gordon Bell,Agustín Valverde,N
Chi-Sing Leung,Ah Chung Tsoi,P
Kok Lay Teo,Ah Chung Tsoi,P
Robert F. Tichy,Ah Chung Tsoi,N
Ole Hanseth,Ah Chung Tsoi,N
Cristina Cifuentes,Ah Chung Tsoi,N
Cees Roos,Aharon Ben-Tal,P
Michael Zibulevsky,Aharon Ben-Tal,P
Reidar Conradi,Aharon Ben-Tal,N
J. Wang,Ahmad B. Rad,P
K. M. Chow,Ahmad B. Rad,P
Yiu-Kwong Wong,Ahmad B. Rad,P
Luis Castedo,Ahmad B. Rad,N
Jean François Maurras,Ahmad B. Rad,N
Bing Lam Luk,Ahmad B. Rad,N
Eduardo Casas,Ahmad B. Rad,N
Richard E. Ewing,Ahmad B. Rad,N
Edwin Hsing-Mean Sha,Ahmad B. Rad,N
Gabor T. Herman,Ahmad Fuad Rezaur Rahman,N
Malcolm A. Sabin,Ahmad H. Nasri,P
Ludmila Kuncheva,Ahmad H. Nasri,N
Yannis A. Dimitriadis,Ahmad H. Nasri,N
Fabián Flores Bazán,Ahmad H. Nasri,N
John R. Anderson,Ahmad H. Nasri,N
Javier Garcia-Frias,Ahmad H. Nasri,N
Arthur G. Werschulz,Ahmad H. Nasri,N
Sheldon H. Jacobson,Ahmad M. Al-Fahed Nuseirat,N
Lionel C. Briand,Ahmad M. Al-Fahed Nuseirat,N
Gabriela Nicolescu,Ahmed Amine Jerraya,P
Sungjoo Yoo,Ahmed Amine Jerraya,P
Alex Aussem,Ahmed Amine Jerraya,N
Julia Padberg,Ahmed Amine Jerraya,N
Erik Poll,Ahmed Amine Jerraya,N
Aydan M. Erkmen,Ahmed Amine Jerraya,N
Louis L. Scharf,Ahmed Amine Jerraya,N
Denis Trystram,Ahmed H. Sameh,P
Adam J. Grove,Ahmed H. Sameh,N
Hermann Engesser,Ahmed H. Sameh,N
Randal C. Burns,Ahmed H. Sameh,N
Alberto Del Bimbo,Ahmed H. Tewfik,P
HongJiang Zhang,Ahmed H. Tewfik,P
Jean-Claude Belfiore,Ahmed H. Tewfik,P
Mohamed Oussama Damen,Ahmed H. Tewfik,P
Yen-Chu Chuang,Ahmed H. Tewfik,N
Evgenia Smirni,Ahmed H. Tewfik,N
Harald Kosch,Ahmed H. Tewfik,N
Ming Liu,Ahmed H. Tewfik,N
Kincho H. Law,Ahmed H. Tewfik,N
Hitoshi Iba,Ahmed Helmy,N
Marvin K. Simon,Ahmed Helmy,N
Antonio González 0001,Ahmed Helmy,N
Axel Jantsch,Ahmed Hemani,P
Edward F. Schmeichel,Ahmed Hemani,N
Inan Güler,Ahmed Hemani,N
Nicholas F. Maxemchuk,Ahmed Hemani,N
Klaus Weihrauch,Ahmed Hemani,N
David K. Y. Yau,Ahmed K. Elmagarmid,P
Elisa Bertino,Ahmed K. Elmagarmid,P
Farouk Toumani,Ahmed K. Elmagarmid,P
Walid G. Aref,Ahmed K. Elmagarmid,P
Pallab Dasgupta,Ahmed K. Elmagarmid,N
Tat-Seng Chua,Ahmed Karmouch,P
A. S. Madhukumar,Ahmed Karmouch,N
Xiaoling Sun 0001,Ahmed Karmouch,N
Greg Henry,Ahmed M. Assaf,N
Raffaele Cappelli,Ahmed Patel,N
Victor Solo,Ahmed Patel,N
Alexander Knapp,Ai Oshiro,N
Aidong Zhang,Aibing Rao,P
Jie Huang 0001,Aibing Rao,N
Pascal Koiran,Aibing Rao,N
Benoît Caillaud,Aibing Rao,N
Walter L. Ruzzo,Aidong Zhang,N
David H. Bailey,Aidong Zhang,N
Eduardo D. Sontag,Aidong Zhang,N
Zhongying Chen,Aihui Zhou,P
Chi-Kwong Chan,Aihui Zhou,N
Maylor K. H. Leung,Aihui Zhou,N
Pablo González-Vera,Aihui Zhou,N
Mark S. Pinsker,Ajai Kapoor,N
Xingxing Yu,Ajai Kapoor,N
Hiroaki Ikeda,Ajit Kambil,N
Andreas L. Opdahl,Ajit Narayanan,N
Ze-Nian Li,Ajit Narayanan,N
Thomas Lukasiewicz,Ajit Narayanan,N
Jun Zhang 0001,Ajit Narayanan,N
Cheryl L. Dunn,Ajit Narayanan,N
Alexander L. Fradkov,Ajit Narayanan,N
Andreas Heuer 0001,Ajit Narayanan,N
Colette Johnen,Ajoy Kumar Datta,P
Joffroy Beauquier,Ajoy Kumar Datta,P
Sébastien Tixeuil,Ajoy Kumar Datta,P
James R. Bradley,Ajoy Kumar Datta,N
Rudolf Mathar,Ajoy Kumar Datta,N
Wojciech Penczek,Ajoy Kumar Datta,N
Carlos H. Muravchik,Akbar M. Sayeed,N
Larry S. Davis,Akbar M. Sayeed,N
Nicolò Cesa-Bianchi,Akbar M. Sayeed,N
Edward A. Stohr,Akhil Kumar 0001,P
Jérôme Siméon,Akhil Kumar 0001,P
Wil M. P. van der Aalst,Akhil Kumar 0001,P
Makoto Yokoo,Akhil Kumar 0001,N
Alessandro Panconesi,Akhil Kumar 0001,N
Cha'o-Kuang Chen,Akifumi Makinouchi,N
Gerardo Casazza,Akifumi Makinouchi,N
Andreas Ziehe,Akinori Abe,N
Rafael Kelly,Akinori Abe,N
Huan Liu 0001,Akinori Abe,N
Masaki Kohda,Akinori Ito,P
Nobuyuki Matsui,Akinori Ito,N
Ha Duong Phan,Akinori Ito,N
et al.,Akinori Ito,N
Satoshi Kobayashi,Akinori Ito,N
Ming-Ting Sun,Akinori Ito,N
Anatoly S. Frolov,Akinori Sarai,P
Kenta Nakai,Akinori Sarai,P
Nikolay A. Kolchanov,Akinori Sarai,P
Nikolay L. Podkolodny,Akinori Sarai,P
Thomas Beth,Akinori Sarai,N
Jin Zhang,Akinori Sarai,N
Septimiu E. Salcudean,Akinori Sarai,N
Jacques M. Bahi,Akinori Sarai,N
Asoke K. Nandi,Akio Utsugi,N
Andrea De Lucia,Akio Utsugi,N
Changjun Jiang,Akira Hirose,N
Jyrki Joutsensalo,Akira Hirose,N
Rainer Steinwandt,Akira Hirose,N
Demosthenis Teneketzis,Akira Hirose,N
Hitoshi Katayama,Akira Ichikawa,P
Jun Yoneyama,Akira Ichikawa,P
Fedor V. Fomin,Akira Ichikawa,N
Cheng-Fu Chou,Akira Ito,N
Gunter Saake,Akira Ito,N
Bill Hancock,Akira Ito,N
Junping Wang,Akira Ito,N
Fuhua Cheng,Akira Ito,N
Heather Gavlas,Akira Ito,N
Bing Wei 0001,Akira Saito,P
Erik R. Altman,Akira Saito,N
William David Salisbury,Akira Saito,N
Carlos Eduardo Pereira,Akira Saito,N
Pascal Chevalier,Akira Saito,N
Anna E. Frid,Akkihebbal L. Ananda,N
Attila Kuba,Akkihebbal L. Ananda,N
Alberto Macii,Akkihebbal L. Ananda,N
Candido Ferreira Xavier de Mendonça Neto,Akkihebbal L. Ananda,N
Michel Devy,Akkihebbal L. Ananda,N
Alessandro Saffiotti,Alain Appriou,P
Xavier Briottet,Alain Appriou,P
Richard Cooper,Alain Appriou,N
Ahmad B. Rad,Alain Appriou,N
Bin Ma,Alain Appriou,N
Rogelio Lozano,Alain Billionnet,N
Driss Aboutajdine,Alain Bretto,P
Janez Zerovnik,Alain Bretto,P
Hiroaki Nishi,Alain Bretto,N
Marco Schaerf,Alain Destexhe,N
X. X. Huang,Alain Destexhe,N
Christian Huitema,Alain Durand,P
Randy Bush,Alain Durand,P
Dharma P. Agrawal,Alain Durand,N
Philippe Gaborit,Alain Durand,N
Halvard Martinsen,Alain Haurie,N
Enrico Gregori,Alain Haurie,N
Carey M. Rappaport,Alain Haurie,N
Mark E. Johnson,Alain Haurie,N
Georg Still,Alain Haurie,N
Giovanni Bortolan,Alain Hertz,N
Giorgio Franceschetti,Alain Hertz,N
Manuel Alfonseca,Alain Hertz,N
Richard Nock,Alain Hertz,N
Kincho H. Law,Alain Hertz,N
Michel X. Goemans,Alain Hertz,N
Brian M. Sadler,Alain Hertz,N
Chung-Piaw Teo,Alain Hénaut,N
Bernard Tiddeman,Alain Hénaut,N
Adam D. Smith,Alain Tapp,P
Claude Crépeau,Alain Tapp,P
Daniel Gottesman,Alain Tapp,P
Rossouw von Solms,Alain Tapp,N
Maria Cristina Pinotti,Alan A. Bertossi,P
Silvano Martello,Alan A. Bertossi,P
Fernando Isasi de Vicente,Alan A. Bertossi,N
Didier Henrion,Alan A. Bertossi,N
Giuseppe Pirillo,Alan Bundy,N
James P. Callan,Alan Bundy,N
Brendan J. Frey,Alan Bundy,N
Paolo Frasconi,Alan Bundy,N
Doo-Hyun Choi,Alan Bundy,N
Dinesh P. Mehta,Alan Bundy,N
Maciej Koutny,Alan Burns,P
Mordechai Ben-Ari,Alan Burns,P
Richard R. Brooks,Alan Burns,N
Marios S. Pattichis,Alan C. Bovik,P
Sun-Yuan Kung,Alan C. Bovik,N
Jesper Simonsen,Alan C. Bovik,N
Renato Lo Cigno,Alan C. Bovik,N
Geoffrey Exoo,Alan C. H. Ling,P
Martin Tompa,Alan C. H. Ling,P
Nicholas C. K. Phillips,Alan C. H. Ling,P
Walter D. Wallis,Alan C. H. Ling,P
Angelo Montanari,Alan C. Schultz,P
Carla P. Gomes,Alan C. Schultz,P
Claudio Bettini,Alan C. Schultz,P
William P. Birmingham,Alan C. Schultz,P
Yolanda Gil,Alan C. Schultz,P
Yi Zhou,Alan C. Schultz,N
Ninan Sajeeth Philip,Alan F. Blackwell,N
Dinesh K. Pai,Alan F. Blackwell,N
Bertrand Meyer 0001,Alan F. Blackwell,N
H. Jaap van den Herik,Alan F. Blackwell,N
Janez Zerovnik,Alan F. Blackwell,N
Hui Liu,Alan F. Karr,P
Florian Roussel,Alan F. Karr,N
Germain Garcia,Alan F. Murray,N
Bernhard Banaschewski,Alan F. Murray,N
Laks V. S. Lakshmanan,Alan F. Murray,N
James P. Callan,Alan F. Smeaton,P
Stephen P. Banks,Alan F. Smeaton,N
Dan Ismailescu,Alan F. Smeaton,N
Zeljko Mrcarica,Alan F. Smeaton,N
William Duckworth,Alan Gibbons,P
Cristian Vidrascu,Alan Gibbons,N
Ross T. Whitaker,Alan H. Barr,P
Ben Y. Reis,Alan H. Barr,N
Srikanth V. Krishnamurthy,Alan H. Barr,N
Paul Hildreth,Alan H. Barr,N
Antonio Bandera,Alan H. Barr,N
Carol J. Bruegge,Alan H. Strahler,P
John V. Martonchik,Alan H. Strahler,P
Paul C. K. Kwok,Alan H. Strahler,N
Grigore Rosu,Alan H. Strahler,N
P. C. Ching,Alan H. Strahler,N
Volker John,Alan H. Strahler,N
Danny De Vleeschauwer,Alan H. Strahler,N
Jiu Ding,Alan H. Strahler,N
Jan Biemond,Alan Hanjalic,P
Reginald L. Lagendijk,Alan Hanjalic,P
Ralf Stiebe,Alan Hanjalic,N
Kam-yiu Lam,Alan Hanjalic,N
Vijay V. Vazirani,Alan Hanjalic,N
Kecheng Liu,Alan J. Dix,P
Binay K. Bhattacharya,Alan J. Dix,N
Gabriel Montenegro,Alan J. Dix,N
Olga Polverino,Alan J. Hoffman,N
Rossella Brunetti,Alan J. Robinson,N
James R. Lewis,Alan J. Robinson,N
H. T. Banks,Alan J. Robinson,N
John M. Hollerbach,Alan J. Robinson,N
Honesty C. Young,Alan Jay Smith,P
Friedrich M. Wahl,Alan Jay Smith,N
Carlos Eduardo Pereira,Alan Jay Smith,N
Lusheng Wang,Alan Jay Smith,N
Paul N. Swarztrauber,Alan Jay Smith,N
István Gaál,Alan Jay Smith,N
Se-Young Oh,Alan Jay Smith,N
Steven Pemberton,Alan Jay Smith,N
Jye-Chyi Lu,Alan L. Porter,P
Lance Fortnow,Alan L. Selman,P
Michael Reid,Alan L. Selman,N
