source,target
Kathleen Hoffman,A. Lee Swindlehurst
Kotaro Hirasawa,A. Lee Swindlehurst
Jean-Michel Morel,A. Lee Swindlehurst
Peter Kabal,A. Lee Swindlehurst
Asuman Dogac,A. Lee Swindlehurst
Judee K. Burgoon,A. Lee Swindlehurst
Henry A. Kierstead,A. Lee Swindlehurst
S. Y. Ron Hui,A. Lee Swindlehurst
Der-Chyuan Lou,A. M. Abd-Alla
Dieter W. Fellner,A. M. Day
Cüneyt Güzelis,A. M. Day
Alessandro De Gloria,A. M. Day
Jennifer Seberry,A. M. Day
John C. Hart,A. M. Day
Alexander Schrijver,A. M. H. Gerards
Geoffrey P. Whittle,A. M. H. Gerards
Geoff Whittle,A. M. H. Gerards
Samuel Kaski,A. M. H. Gerards
Fatos T. Yarman-Vural,A. Murat Tekalp
Rajiv Mehrotra,A. Murat Tekalp
Juan A. Carrasco,A. Murat Tekalp
Joseph Sarkis,A. Murat Tekalp
Bruce A. Draper,A. P. Wim Böhm
J. Ross Beveridge,A. P. Wim Böhm
Linda G. Wallace,A. P. Wim Böhm
James F. Kurose,A. P. Wim Böhm
Lyn Bartram,A. P. Wim Böhm
Anastasios Stamoulis,A. Robert Calderbank
Naofal Al-Dhahir,A. Robert Calderbank
Ernst M. Gabidulin,A. Robin Forrest
David Ngo Chek Ling,A. Robin Forrest
Qing Zhao,A. Robin Forrest
Gabor T. Herman,A. Roger Hammons Jr.
Jaap van Pelt,A. Roger Hammons Jr.
Ting Chen,A. Senthil Kumar
Lida Xu,A. Senthil Kumar
Claudio De Persis,A. Stephen Morse
Daniel Liberzon,A. Stephen Morse
Jean-François Mertens,A. Stephen Morse
Márcia R. Cerioli,A. Stephen Morse
Karim Nour,A. Stephen Morse
Alex H. B. Duffy,A. Stephen Morse
Darren A. Natale,A. Volgenant
Francesc Esteva,A. Volgenant
Robert Babuska,A. Volgenant
Patricia Flatley Brennan,A. W. Roscoe
Deborah Estrin,A. W. Roscoe
Vassilis G. Kaburlasos,A. W. Roscoe
Karl Doerner,A. Özdes
Kate S. Hone,A. Özdes
Francesca Cuomo,Aapo Hyvärinen
S. S. Alam,Aapo Hyvärinen
Frances M. G. Pearl,Aaron Marcus
Dieter Jungnickel,Aart Blokhuis
Joseph A. Thas,Aart Blokhuis
Zsuzsa Weiner,Aart Blokhuis
Vladimir Makarenkov,Aart Blokhuis
Eytan Ruppin,Aart Blokhuis
Michael J. Flynn,Aart Blokhuis
U. Pal 0001,Aart van Harten
Magnus Boman,Aart van Harten
Peter Meer,Aart van Harten
Ron Weber,Aart van Harten
Marc Bezem,Aart van Harten
Enrico Formenti,Abba B. Gumel
Stephen A. Fenner,Abba B. Gumel
Jing Chen,Abbas Jamalipour
Pascal Lorenz,Abbas Jamalipour
Jaswinder Pal Singh,Abbas Jamalipour
John E. McInroy,Abbas Jamalipour
Toni M. Somers,Abbas Jamalipour
Chan-Soo Hwang,Abbie Barbir
Friedrich M. Wahl,Abbie Barbir
Eyas El-Qawasmeh,Abdel Elah Al-Ayyoub
Madhu Sudan,Abdel Elah Al-Ayyoub
Jochen R. Moehr,Abdel Elah Al-Ayyoub
James Allan,Abdel-Illah Mouaddib
Shlomo Zilberstein,Abdel-Illah Mouaddib
Michele Malgeri,Abdel-Illah Mouaddib
Adnan Darwiche,Abdel-Illah Mouaddib
Karim Abed-Meraim,Abdelhak M. Zoubir
Moeness G. Amin,Abdelhak M. Zoubir
Stephan Philippi,Abdelhak M. Zoubir
Lisimachos P. Kondi,Abdelhak M. Zoubir
Daoud Ait-Kadi,Abdelhakim Artiba
Guillaume Hanrot,Abdelhakim Artiba
Sai Ho Kwok,Abdelhakim Artiba
Sorin Draghici,Abdelhakim Artiba
Nadjib Badache,Abdelmadjid Bouabdallah
Christophe Ringeissen,Abdelmadjid Bouabdallah
Leszek Gasieniec,Abdelmadjid Bouabdallah
Mark de Berg,Abdelmadjid Bouabdallah
Ernesto Bribiesca,Abdelmadjid Bouabdallah
Horst Bischof,Abdelmadjid Bouabdallah
Stefan Hougardy,Abdelmadjid Bouabdallah
Athman Bouguettaya,Abdelmounaam Rezgui
Mourad Ouzzani,Abdelmounaam Rezgui
Hongya Ge,Abdelmounaam Rezgui
Rui T. Valadas,Abdelmounaam Rezgui
Feng Gao,Abdelmounaam Rezgui
Gordon B. Davis,Abdelmounaam Rezgui
Tibor Cinkler,Abdelsalam Helal
Luca Benini,Abdelsalam Helal
Florida Estrella,Abdelsalam Helal
I-Ming Chen,Abdelsalam Helal
Wolfgang Müller 0004,Abdol-Reza Mansouri
Michael A. Jensen,Abdol-Reza Mansouri
Karim Nour,Abdol-Reza Mansouri
Anne Penfold Street,Abdollah Khodkar
Chin-Mei Fu,Abdollah Khodkar
Nicholas J. Cavenagh,Abdollah Khodkar
Patrick C. F. Eggers,Abdollah Khodkar
Eiji Nakano,Abdollah Khodkar
James G. Nagy,Abdollah Khodkar
Vincent B. Robinson,Abdollah Khodkar
Keith A. Hardie,Abdollah Khodkar
Yi-Min Wang,Abdollah Khodkar
Efstratios N. Pistikopoulos,Abdollah Khodkar
Ya-Qin Zhang,Abdul Paliwala
Shengming Jiang,Abdul Paliwala
Tridas Mukhopadhyay,Abdul Paliwala
Andries Barnard,Abdul Paliwala
John Gallaugher,Abdul Paliwala
Michael J. Maher,Abdul Sattar 0001
Alexander Golbraikh,Abdul Sattar 0001
Peter J. Ashenden,Abdul Sattar 0001
Hiok Chai Quek,Abdul Wahab
Elena Lodi,Abdul Wahab
Frank Sottile,Abdul Wahab
Yangsheng Xu,Abdul Wahab
Kwang-Hyun Cho,Abdul Wahab
Stefan Dobrev,Abdul-Majid Wazwaz
Timothy A. Davis 0001,Abdul-Majid Wazwaz
Anastasia Kolodko,Abdul-Majid Wazwaz
Peng Shi 0001,Abdulla Ismail
Sorel Reisman,Abdulla Ismail
Luc Segoufin,Abdulla Ismail
Andrew C. Beall,Abdulla Ismail
Daniel Hernández-Hernández,Abdulla Ismail
Saad Haj Bakry,Abdulmohsen A. Alheraish
Jin-xuan Fang,Abdulmohsen A. Alheraish
Pedro M. Domingos,Abdulmohsen A. Alheraish
Sherali Zeadally,Abdulmohsen A. Alheraish
Peter Winkler 0001,Abdulmohsen A. Alheraish
Vimal Singh,Abeer Alwan
Kannan Ramchandran,Abeer Alwan
Richard M. Murray,Abeer Alwan
Hideyuki Tsukagoshi,Abhijit Chaudhury
John M. Ward,Abhijit Chaudhury
John Mullins,Abhijit S. Pandya
Michael Feig,Abhijit S. Pandya
Pierre McKenzie,Abilio Lucena
Burak Kazaz,Abilio Lucena
William F. Smyth,Abilio Lucena
Gene H. Golub,Abilio Lucena
Rajib Mall,Aboul Ella Hassanien
Wolfgang Günther 0001,Aboul Ella Hassanien
Holger Petersen 0001,Aboul Ella Hassanien
Mark Last,Abraham Kandel
Radko Mesiar,Abraham Kandel
Michael K. Gilson,Abraham Kandel
Luke E. K. Achenie,Abraham Kandel
Manuel Alfonseca,Abraham Kandel
Andreas S. Schulz,Abraham P. Punnen
Edward H. Freeman,Abraham P. Punnen
Tommy Guess,Abraham P. Punnen
Angélica de Antonio,Abraham P. Punnen
Shotaro Akaho,Abraham P. Punnen
Edieal J. Pinker,Abraham Seidmann
Ruggero Lanotte,Abraham Seidmann
Leen Stougie,Abraham Seidmann
David Maier 0001,Abraham Silberschatz
Judith Bayard Cushing,Abraham Silberschatz
Y. Zhang,Abraham Silberschatz
Zhisheng Niu,Achille Pattavina
R. Gilbert Jost,Achille Pattavina
Peter Van den Besselaar,Achille Pattavina
Alessandro Agnetis,Achille Pattavina
Giulio Colavolpe,Achilleas Anastasopoulos
Debashis Ghosh,Achilleas Anastasopoulos
Detmar W. Straub,Achilleas Anastasopoulos
Jon Nichol,Achilleas Anastasopoulos
Christian Wieners,Achilleas Anastasopoulos
Michael D. Zoltowski,Achim Ilchmann
Robertas Damasevicius,Achim Ilchmann
Lars Birkedal,Achim Jung
Blackford Middleton,Achim Jung
Greg S. Biging,Achim Jung
Mark N. Ellingham,Achim Jung
Farid Melgani,Achim Jung
Antonio Fernández 0001,Achour Mostéfaoui
Roy Friedman,Achour Mostéfaoui
Sergio Rajsbaum,Achour Mostéfaoui
Alexander Zelikovsky,Achour Mostéfaoui
Jacob Buur,Achour Mostéfaoui
Lydia Plowman,Achour Mostéfaoui
Friedrich T. Sommer,Ad Aertsen
Stefan Rotter,Ad Aertsen
Thomas Wennekers,Ad Aertsen
Patrick Thiran,Ad Aertsen
Dhabaleswar K. Panda,Ad Aertsen
Aluizio F. R. Araújo,Ad M. G. Peeters
Lidia Fuentes,Ad M. G. Peeters
Toshihide Ibaraki,Ad M. G. Peeters
Peter Buchholz 0001,Ad M. G. Peeters
Jens Palsberg,Ad M. G. Peeters
Jari Veijalainen,Ada Wai-Chee Fu
Jaap Hage,Ada Wai-Chee Fu
Russell Bent,Ada Wai-Chee Fu
Christoph Rücker,Adalbert Kerber
Aniruddha S. Gokhale,Adam A. Porter
Douglas C. Schmidt,Adam A. Porter
José Manuel Pardo,Adam A. Porter
Andrzej Swierniak,Adam Czornik
Bryan A. Baum,Adam Czornik
Jason L. Dedrick,Adam Czornik
Mary R. Thompson,Adam Czornik
Jenq-Neng Hwang,Adam D. Smith
Markus Werner,Adam D. Smith
Shuvra S. Bhattacharyya,Adam Finkelstein
Albert Nijenhuis,Adam Finkelstein
C. Mani Krishna,Adam Finkelstein
Jaime Simão Sichman,Adam Finkelstein
Dawei Hong,Adam Finkelstein
Qi Shi,Adam Finkelstein
Eric K. Clemons,Adam Finkelstein
David Bodoff,Adam Finkelstein
R. Sritharan,Adam Finkelstein
Rommert Dekker,Adam Godzik
Laurent Hardouin,Adam Godzik
Michael Mealling,Adam Kalai
Sarnath Ramnath,Adam Kalai
James F. Reed,Adam Kalai
Xian-He Sun,Adam Krzyzak
Qing Li 0001,Adam Krzyzak
Martin L. Griss,Adam Krzyzak
Claire Kenyon,Adam L. Buchsbaum
Howard J. Karloff,Adam L. Buchsbaum
Michael T. Goodrich,Adam L. Buchsbaum
Suzanne D. Pawlowski,Adam L. Buchsbaum
Ivan Hal Sudborough,Adam L. Buchsbaum
Andrea Lodi 0001,Adam N. Letchford
Mark S. Nixon,Adam Prügel-Bennett
Wu Jigang,Adam Prügel-Bennett
Colin Eden,Adam Prügel-Bennett
Antony Galton,Adam Prügel-Bennett
Ying Miao,Adam R. Klivans
Toshio Nakatani,Adam R. Klivans
José Muñoz-Pérez,Adam R. Klivans
Paul Dupuis,Adam Shwartz
Hui Zhang,Adam Shwartz
Igor Jurisica,Adam Shwartz
Bruno Tuffin,Adam Shwartz
Ian D. Walker,Adam W. Hoover
Euntai Kim,Adam W. Hoover
Xose Manuel Pardo,Adam W. Hoover
Arnaud Doucet,Adam W. Hoover
Stephen T. C. Wong,Adam W. Hoover
Martin Reisslein,Adam Wolisz
Henrik Schulze,Adam Wolisz
Gerhard Widmer,Adam Wolisz
Javier Aracil,Adam Wolisz
Ying Miao,Adam Wolisz
Yue Zhang,Adarshpal S. Sethi
Shriram Krishnamurthi,Adel M. Aladwani
William B. Rouse,Adel M. Aladwani
Andy Schürr,Adhemar Bultheel
Haesun Park,Adhemar Bultheel
James B. Orlin,Adhemar Bultheel
Pao-Long Chang,Adhemar Bultheel
Wolf Zimmermann,Adhemar Bultheel
Jianwei Zhang 0001,Adhemar Bultheel
Kirk Martinez,Adi Rosén
Oscar H. Ibarra,Adi Rosén
Yuanqing Li,Adi Rosén
Elisabeth André,Admela Jukan
Pamela C. Cosman,Admela Jukan
Jerzy W. Grzymala-Busse,Admela Jukan
Peter Kabal,Adnan Al-Smadi
Jim Blythe,Adnan Amin
Ruth C. King,Adnan Amin
Koeng-Mo Sung,Adnan Amin
Jun Yuan,Adnan Aziz
Hong Qiao,Adnan Aziz
Pierre Marquis,Adnan Darwiche
Ram Narasimhan,Adnan Yazici
Harry G. Perros,Adnan Yazici
Alex Samorodnitsky,Adnan Yazici
Martin Haardt,Adolfo Steiger-Garção
Fabrizio Petrini,Adolfy Hoisie
Nikos A. Vlassis,Adolfy Hoisie
Hideo Kitajima,Adolfy Hoisie
Nitin H. Vaidya,Adolfy Hoisie
Nicholas J. Higham,Adolfy Hoisie
Dong Ho Park,Adolfy Hoisie
Hendrik Jan Hoogeboom,Adriaan A. Van de Griend
Olivier Esser,Adrian Dale
Jian Zhang,Adrian David Cheok
Kuntal Sengupta,Adrian David Cheok
Mark Billinghurst,Adrian David Cheok
Morten Hertzum,Adrian David Cheok
Xin Chen,Adrian David Cheok
Bert R. Boyce,Adrian David Cheok
Ichiro Suzuki,Adrian Dumitrescu
Joseph S. B. Mitchell,Adrian Dumitrescu
Ting Chen,Adrian Dumitrescu
Bani K. Mallick,Adrian Dumitrescu
Raouf N. Gorgui-Naguib,Adrian Dumitrescu
Jason L. Speyer,Adrian Friday
Sanjeev R. Kulkarni,Adrian Friday
Tapio Elomaa,Adrian Friday
Elizabeth Scott,Adrian Johnstone
Antonis Economou,Adrian Johnstone
Toshiaki Murofushi,Adrian Miles
Megha Singh,Adrian Miles
Mark A. Girolami,Adrian Munteanu 0001
Massimo Cafaro,Adrian Munteanu 0001
Andrea Mantler,Adrian Munteanu 0001
Isaac Meilijson,Adrian Munteanu 0001
James V. Burke,Adrian S. Lewis
Michael L. Overton,Adrian S. Lewis
Yaakov Kogan,Adrian S. Lewis
Rod Downey,Adrian S. Lewis
Robert Weismantel,Adrian S. Lewis
Karl G. Kempf,Adrian Segall
Takuo Suganuma,Adrian Segall
Chung-Ju Chang,Adrian Segall
Elsa L. Gunter,Adriana B. Compagnoni
Miguel Pasadas,Adriana B. Compagnoni
Bard Ermentrout,Adriana B. Compagnoni
Rohini K. Srihari,Adriana B. Compagnoni
Enrique Herrera-Viedma,Adriana B. Compagnoni
Hans G. Kerkhoff,Adriana B. Compagnoni
David G. Long,Adriano Camps
Carlo Combi,Adriano Peron
Massimo Franceschet,Adriano Peron
Mimmo Parente,Adriano Peron
Drena Dobbs,Adriano Peron
Richard Ennals,Adriano Peron
Oscar Cordón,Adrienne Muir
William B. Rouse,Adrienne Muir
Hans Weigand,Adrienne Muir
Jin-yi Cai,Aduri Pavan
David K. Y. Yau,Aduri Pavan
Jens-Rainer Ohm,Aduri Pavan
Jan Gulliksen,Aduri Pavan
Jeffrey M. Voas,Aduri Pavan
Peter Willett 0001,Aduri Pavan
Staal A. Vinterbo,Afonso Ferreira
V. Kumar,Afonso Ferreira
Alexander Maedche,Afonso Ferreira
Turgay Korkmaz,Afzaal H. Seyal
Raffaele Pesenti,Afzaal H. Seyal
Eisa A. Al-Said,Afzaal H. Seyal
Sylvie Corteel,Afzaal H. Seyal
Heinz Mühlenbein,Afzaal H. Seyal
Paul Wernick,Afzal Ballim
Akram Aldroubi,Afzal Ballim
Marcus Brunner,Afzal Ballim
George A. Gravvanis,Agapios N. Platis
Jon Atli Benediktsson,Agapios N. Platis
Kathrin Klamroth,Agapios N. Platis
Illah R. Nourbakhsh,Agapios N. Platis
Carlo Muscas,Agapios N. Platis
Andrew Rosenbloom,Agapios N. Platis
Jianping Wu,Agapios N. Platis
Junshan Zhang,Agapios N. Platis
Uwe Helmke,Agapios N. Platis
Ebroul Izquierdo,Aggelos K. Katsaggelos
Lisimachos P. Kondi,Aggelos K. Katsaggelos
Martin Bouchard,Aggelos K. Katsaggelos
Igor M. Verner,Aggelos K. Katsaggelos
Michael F. Worboys,Agnès Voisard
William I. Gasarch,Agnès Voisard
Charles R. Kalmanek,Agnès Voisard
Xinwei Liu,Agnès Voisard
Esfandiar Eslami,Agnès Voisard
Riccardo Focardi,Agostino Cortesi
Faramarz Fekri,Agostino Cortesi
Dimitris Bertsimas,Agostino Cortesi
Michael Picheny,Agostino Cortesi
Herman Bruyninckx,Agostino Cortesi
Gualtiero Piccinini,Agostino Cortesi
Carla Piazza,Agostino Dovier
Davide Rocchesso,Agostino Dovier
Raman Venkataramani,Agostino Dovier
Edda Leopold,Agostino Dovier
Mostafa H. Ammar,Agostino Dovier
Tetsuya Matsumoto,Ah Chung Tsoi
Jason P. Jue,Ah Chung Tsoi
Laxmi Parida,Ah Chung Tsoi
Rui T. Valadas,Ah Chung Tsoi
Francesc Rosselló,Ah Chung Tsoi
Churn-Jung Liau,Ah-Hwee Tan
Gleb Naumovich,Ah-Hwee Tan
Brian Henderson-Sellers,Ah-Hwee Tan
Amparo Fúster-Sabater,Ah-Hwee Tan
Yonina C. Eldar,Aharon Ben-Tal
John Sum,Aharon Ben-Tal
Petros A. Ioannou,Aharon Ben-Tal
Henrik Hautop Lund,Ahmad A. Hiasat
Forouzan Golshani,Ahmad A. Hiasat
Katharina T. Huber,Ahmad B. Rad
Marc L. Resnick,Ahmad B. Rad
Rolf S. Rees,Ahmad B. Rad
Robert F. Easley,Ahmad B. Rad
Dmitrii Lozovanu,Ahmad B. Rad
Jianmin Zheng,Ahmad H. Nasri
Thomas W. Sederberg,Ahmad H. Nasri
Nathan Linial,Ahmad H. Nasri
François Baccelli,Ahmed A. Rafea
Sunghyun Choi,Ahmed A. Rafea
Peter H. N. de With,Ahmed A. Rafea
William Adams,Ahmed A. Rafea
Ji-Huan He,Ahmed Amine Jerraya
D. K. Subramanian,Ahmed Amine Jerraya
Lung-Wen Tsai,Ahmed Amine Jerraya
Parosh Aziz Abdulla,Ahmed Bouajjani
San-Yih Hwang,Ahmed Bouajjani
M. V. C. Rao,Ahmed Bufardi
Sheshayya A. Choudum,Ahmed Bufardi
Daniel Berleant,Ahmed E. Kamal
James F. Peters,Ahmed E. Kamal
Pravin Varaiya,Ahmed E. Kamal
Hung-Min Sun,Ahmed E. Kamal
Raphaël Visoz,Ahmed E. Kamal
Ali N. Akansu,Ahmed H. Tewfik
Mostafa Kaveh,Ahmed H. Tewfik
Pierre Moulin,Ahmed H. Tewfik
Thomas J. Richardson,Ahmed H. Tewfik
Rachid Guerraoui,Ahmed H. Tewfik
Achille Pattavina,Ahmed Helmy
Chungnan Lee,Ahmed Helmy
V. Daniel R. Guide Jr.,Ahmed Helmy
Pedro C. Marijuán,Ahmed Helmy
Wayne D. Gray,Ahmed Helmy
Isaac Levi,Ahmed Helmy
Ravi Kumar 0001,Ahmed K. Elhakeem
Anne H. H. Ngu,Ahmed K. Elmagarmid
Athena Vakali,Ahmed K. Elmagarmid
Athman Bouguettaya,Ahmed K. Elmagarmid
Boualem Benatallah,Ahmed K. Elmagarmid
Elena Ferrari,Ahmed K. Elmagarmid
Mohand-Said Hacid,Ahmed K. Elmagarmid
Tiziana Catarci,Ahmed K. Elmagarmid
Xindong Wu 0001,Ahmed K. Elmagarmid
Yücel Saygin,Ahmed K. Elmagarmid
Chunhua Feng,Ahmed K. Elmagarmid
Toshio Aoyagi,Ahmed K. Elmagarmid
Horst Oberquelle,Ahmed K. Elmagarmid
Ali K. Kamrani,Ahmed M. A. El-Sayed
Menahem Friedman,Ahmed M. A. El-Sayed
Shichao Zhang,Ahmed M. A. El-Sayed
David B. Lowe,Ahmed M. A. El-Sayed
Jianhong Wu,Ahmed M. M. Khodier
Toshimitsu Ushio,Ahmed M. M. Khodier
Yannis Manoussakis,Ahmed Patel
Weimin Zheng,Ahmed Patel
Harriet J. Nock,Ahmed Patel
Kamal Premaratne,Ahmed Patel
Letizia Leonardi,Ahmed Patel
Pertti Vainikainen,Ahmed Patel
Jan Pries-Heje,Ahmed S. Elwakil
Kai Reimers,Ahmed S. Elwakil
Shahram Ghandeharizadeh,Ahmed S. Elwakil
Bert Wijnen,Ahmed S. Elwakil
Christian Mira,Ahmed S. Elwakil
Jan M. Rabaey,Ahmed Seffah
Thomas A. Manteuffel,Ahmed Seffah
Frank L. Lewis,Ahmet Arslan
Edward J. Delp,Ahmet M. Eskicioglu
Stephan Brandt,Ahmet M. Eskicioglu
Mohamed F. Younis,Ahmet M. Eskicioglu
Iris Vessey,Ai-Chun Pang
Mark Schroeder,Ai-Chun Pang
Tomas Sauer,Ai-Chun Pang
Lewis M. Mackenzie,Ai-Chun Pang
Jian Pei,Aidong Zhang
Shirley Ann Becker,Aidong Zhang
Jim X. Chen,Aiichiro Nakano
Wei Zhao,Aiichiro Nakano
Leif Kobbelt,Aiichiro Nakano
Christopher D. Carothers,Aiichiro Nakano
Paola Mello,Ajay D. Kshemkalyani
Roberto Kawakami Harrop Galvão,Ajay D. Kshemkalyani
Zhili Sun,Ajay Divakaran
Alain Denise,Ajay Divakaran
Marco Viceconti,Ajay Divakaran
Gary J. Sullivan,Ajay Luthra
Thomas Wiegand,Ajay Luthra
Robert P. Colwell,Ajay Luthra
Christoph Lindemann,Ajay Luthra
Fangzhen Lin,Ajay Luthra
Paul L. Bowen,Ajay Luthra
Martin Karplus,Ajay S. Vinze
José A. Moreno-Pérez,Ajay S. Vinze
Sébastien Tixeuil,Ajoy Kumar Datta
Shotaro Akaho,Ajoy Kumar Datta
Amnon Meisels,Ajoy Kumar Datta
Frank Leymann,Ajoy Kumar Datta
Reinhard Klein,Ajoy Kumar Datta
Ke Liu,Akbar M. Sayeed
Robert W. Heath Jr.,Akbar M. Sayeed
V. Ramachandran,Akbar M. Sayeed
Pierre McKenzie,Akbar M. Sayeed
Simon Haykin,Akbar M. Sayeed
Mikhail H. Klin,Akbar Zaheer
Eli Upfal,Akbar Zaheer
David Hansel,Akbar Zaheer
Jacques Wainer,Akhil Kumar 0001
Henri Prade,Akhil Kumar 0001
Albrecht Schmidt 0001,Akhil Kumar 0001
Aruna Seneviratne,Akhil Kumar 0001
Sunder Kekre,Akhilesh Bajaj
Bogdan Gabrys,Akhilesh Bajaj
Mark Sanderson,Akhilesh Chandra
David G. Goodenough,Akifumi Makinouchi
Shahram Payandeh,Akihiro Kanamori
Marios C. Papaefthymiou,Akihiro Kanamori
Enrico Zanoni,Akihiro Kanamori
Jotun Hein,Akihiro Kanamori
Eiichi Bannai,Akihiro Munemasa
Matteo Baldoni,Akihiro Munemasa
Ryan Kastner,Akihiro Munemasa
Mario Rodríguez-Artalejo,Akihiro Munemasa
Stephen G. Simpson,Akihisa Tamura
Mauricio Osorio 0001,Akihisa Tamura
Hidefumi Kobatake,Akinobu Shimizu
Fan Wang,Akinobu Shimizu
Cong-hua Yan,Akinobu Shimizu
Baining Guo,Akinori Sarai
Bernard Boigelot,Akinori Sarai
Chein-Wei Jen,Akinori Sarai
Edward W. Knightly,Akinori Sarai
AnHai Doan,Akinori Sarai
Federico Fontana,Akinori Sarai
Giorgio Picci,Akinori Sarai
Arjan Durresi,Akio Koyama
Zixue Cheng,Akio Koyama
Sven Axsäter,Akio Koyama
Jibin Li 0001,Akira Hiraki
Rafik A. Goubran,Akira Hiraki
Takahiro Hara,Akira Hirose
Mark Christiaens,Akira Hirose
Laurent Wendling,Akira Hirose
Hilary Johnson,Akira Hirose
James M. Keller,Akira Hirose
Jürgen Teich,Akira Hirose
Leszek Rychlewski,Akira Hirose
Branka Vucetic,Akira Ito
Karl Gustafson,Akira Ito
Giovanni Rinaldi,Akira Ito
Gisbert Schneider,Akira Ito
Jian Shen,Akira Ito
Kazuo Iwama,Akira Maruoka
Yihong Gong,Akira Maruoka
Davide Sangiorgi,Akira Maruoka
Carol O'Sullivan,Akira Maruoka
Bing Wei 0001,Akira Saito
Ingo Schiermeyer,Akira Saito
Kiyoshi Ando,Akira Saito
Michael S. Jacobson,Akira Saito
Nawarat Ananchuen,Akira Saito
Kwang Bok Lee,Akira Saito
Annie S. Wu,Akira Saito
Christian M. Reidys,Akira Saito
Shari Trewin,Akira Saito
Christian Roux,Akito Tsuboi
Qing Tao,Akito Tsuboi
Franco Zambonelli,Akito Tsuboi
Masaru Uchiyama,Akito Tsuboi
Suzanna Becker,Akiyoshi Shioura
Rance Cleaveland,Akiyoshi Shioura
William G. Wee,Akiyoshi Shioura
Daniel De Zutter,Akiyoshi Shioura
Russel E. Caflisch,Akram Aldroubi
James A. Kadin,Akram Aldroubi
Katarína Cechlárová,Akram Aldroubi
Philippe Balbiani,Akram Aldroubi
Adam Shwartz,Al Farooq Salam
Maguelonne Teisseire,Al Farooq Salam
Konstantin Kogan,Al Farooq Salam
Mark Broadie,Alain Billionnet
Xudong Luo,Alain Billionnet
Changyun Wen,Alain Billionnet
Danièle Gardy,Alain Denise
Dominique Barth,Alain Denise
Philippe Flajolet,Alain Denise
Sylvie Corteel,Alain Denise
E. Andrew Boyd,Alain Denise
Suzanne D. Pawlowski,Alain Denise
H. Narayanan,Alain Denise
Richard T. Watson,Alain Denise
Roberto Musmanno,Alain Denise
Ezra Zeheb,Alain Denise
Il-Min Kim,Alain Denise
Antonia Bertolino,Alain Destexhe
Luk N. Van Wassenhove,Alain Destexhe
Shirley Ann Becker,Alain Giorgetti
Hideo Kitajima,Alain Giorgetti
Norbert Podhorszki,Alain Giorgetti
Bruno Leclerc,Alain Guénoche
Frédéric Semet,Alain Hertz
Tamás Kis,Alain Hertz
William Y. C. Chen,Alain Lascoux
Ernst Niebur,Alain Lascoux
Régis Leveugle,Alain Lascoux
David J. Marchette,Alain Oustaloup
Andreas Abecker,Alain Oustaloup
Gábor Bacsó,Alain Oustaloup
Miki Haseyama,Alain Oustaloup
Richard H. Stern,Alain Plagne
