source,target,prediction
Enrico Formenti,Abba B. Gumel,N
Stephen A. Fenner,Abba B. Gumel,N
Jing Chen,Abbas Jamalipour,N
Pascal Lorenz,Abbas Jamalipour,N
Jaswinder Pal Singh,Abbas Jamalipour,N
John E. McInroy,Abbas Jamalipour,N
Toni M. Somers,Abbas Jamalipour,N
Chan-Soo Hwang,Abbie Barbir,N
Friedrich M. Wahl,Abbie Barbir,N
Eyas El-Qawasmeh,Abdel Elah Al-Ayyoub,N
Madhu Sudan,Abdel Elah Al-Ayyoub,N
Jochen R. Moehr,Abdel Elah Al-Ayyoub,N
James Allan,Abdel-Illah Mouaddib,N
Shlomo Zilberstein,Abdel-Illah Mouaddib,P
Michele Malgeri,Abdel-Illah Mouaddib,N
Adnan Darwiche,Abdel-Illah Mouaddib,N
Karim Abed-Meraim,Abdelhak M. Zoubir,N
Moeness G. Amin,Abdelhak M. Zoubir,N
Stephan Philippi,Abdelhak M. Zoubir,N
Lisimachos P. Kondi,Abdelhak M. Zoubir,N
Daoud Ait-Kadi,Abdelhakim Artiba,N
Guillaume Hanrot,Abdelhakim Artiba,N
Sai Ho Kwok,Abdelhakim Artiba,N
Sorin Draghici,Abdelhakim Artiba,N
Nadjib Badache,Abdelmadjid Bouabdallah,N
Christophe Ringeissen,Abdelmadjid Bouabdallah,N
Leszek Gasieniec,Abdelmadjid Bouabdallah,P
Mark de Berg,Abdelmadjid Bouabdallah,P
Ernesto Bribiesca,Abdelmadjid Bouabdallah,N
Horst Bischof,Abdelmadjid Bouabdallah,N
Stefan Hougardy,Abdelmadjid Bouabdallah,N
Athman Bouguettaya,Abdelmounaam Rezgui,N
Mourad Ouzzani,Abdelmounaam Rezgui,N
Hongya Ge,Abdelmounaam Rezgui,N
Rui T. Valadas,Abdelmounaam Rezgui,N
Feng Gao,Abdelmounaam Rezgui,N
Gordon B. Davis,Abdelmounaam Rezgui,N
Tibor Cinkler,Abdelsalam Helal,N
Luca Benini,Abdelsalam Helal,N
Florida Estrella,Abdelsalam Helal,P
I-Ming Chen,Abdelsalam Helal,N
Wolfgang Müller 0004,Abdol-Reza Mansouri,N
Michael A. Jensen,Abdol-Reza Mansouri,N
Karim Nour,Abdol-Reza Mansouri,N
Anne Penfold Street,Abdollah Khodkar,P
Chin-Mei Fu,Abdollah Khodkar,N
Nicholas J. Cavenagh,Abdollah Khodkar,P
Patrick C. F. Eggers,Abdollah Khodkar,N
Eiji Nakano,Abdollah Khodkar,N
James G. Nagy,Abdollah Khodkar,N
Vincent B. Robinson,Abdollah Khodkar,N
Keith A. Hardie,Abdollah Khodkar,N
Yi-Min Wang,Abdollah Khodkar,N
Efstratios N. Pistikopoulos,Abdollah Khodkar,N
Ya-Qin Zhang,Abdul Paliwala,N
Shengming Jiang,Abdul Paliwala,N
Tridas Mukhopadhyay,Abdul Paliwala,N
Andries Barnard,Abdul Paliwala,N
John Gallaugher,Abdul Paliwala,N
Michael J. Maher,Abdul Sattar 0001,P
Alexander Golbraikh,Abdul Sattar 0001,N
Peter J. Ashenden,Abdul Sattar 0001,N
Hiok Chai Quek,Abdul Wahab,N
Elena Lodi,Abdul Wahab,N
Frank Sottile,Abdul Wahab,N
Yangsheng Xu,Abdul Wahab,N
Kwang-Hyun Cho,Abdul Wahab,N
Stefan Dobrev,Abdul-Majid Wazwaz,N
Timothy A. Davis 0001,Abdul-Majid Wazwaz,N
Anastasia Kolodko,Abdul-Majid Wazwaz,N
Peng Shi 0001,Abdulla Ismail,N
Sorel Reisman,Abdulla Ismail,N
Luc Segoufin,Abdulla Ismail,N
Andrew C. Beall,Abdulla Ismail,N
Daniel Hernández-Hernández,Abdulla Ismail,N
Saad Haj Bakry,Abdulmohsen A. Alheraish,N
Jin-xuan Fang,Abdulmohsen A. Alheraish,N
Pedro M. Domingos,Abdulmohsen A. Alheraish,N
Sherali Zeadally,Abdulmohsen A. Alheraish,N
Peter Winkler 0001,Abdulmohsen A. Alheraish,N
Vimal Singh,Abeer Alwan,N
Kannan Ramchandran,Abeer Alwan,P
Richard M. Murray,Abeer Alwan,P
Hideyuki Tsukagoshi,Abhijit Chaudhury,N
John M. Ward,Abhijit Chaudhury,N
John Mullins,Abhijit S. Pandya,N
Michael Feig,Abhijit S. Pandya,N
Pierre McKenzie,Abilio Lucena,N
Burak Kazaz,Abilio Lucena,N
William F. Smyth,Abilio Lucena,N
Gene H. Golub,Abilio Lucena,N
Rajib Mall,Aboul Ella Hassanien,N
Wolfgang Günther 0001,Aboul Ella Hassanien,N
Holger Petersen 0001,Aboul Ella Hassanien,N
Mark Last,Abraham Kandel,P
Radko Mesiar,Abraham Kandel,N
Michael K. Gilson,Abraham Kandel,N
Luke E. K. Achenie,Abraham Kandel,N
Manuel Alfonseca,Abraham Kandel,N
Andreas S. Schulz,Abraham P. Punnen,N
Edward H. Freeman,Abraham P. Punnen,N
Tommy Guess,Abraham P. Punnen,N
Angélica de Antonio,Abraham P. Punnen,N
Shotaro Akaho,Abraham P. Punnen,N
Edieal J. Pinker,Abraham Seidmann,N
Ruggero Lanotte,Abraham Seidmann,N
Leen Stougie,Abraham Seidmann,N
David Maier 0001,Abraham Silberschatz,P
Judith Bayard Cushing,Abraham Silberschatz,P
Y. Zhang,Abraham Silberschatz,P
Zhisheng Niu,Achille Pattavina,N
R. Gilbert Jost,Achille Pattavina,N
Peter Van den Besselaar,Achille Pattavina,N
Alessandro Agnetis,Achille Pattavina,N
Giulio Colavolpe,Achilleas Anastasopoulos,P
Debashis Ghosh,Achilleas Anastasopoulos,N
Detmar W. Straub,Achilleas Anastasopoulos,N
Jon Nichol,Achilleas Anastasopoulos,N
Christian Wieners,Achilleas Anastasopoulos,N
Michael D. Zoltowski,Achim Ilchmann,N
Robertas Damasevicius,Achim Ilchmann,N
Lars Birkedal,Achim Jung,N
Blackford Middleton,Achim Jung,N
Greg S. Biging,Achim Jung,N
Mark N. Ellingham,Achim Jung,N
Farid Melgani,Achim Jung,N
Antonio Fernández 0001,Achour Mostéfaoui,P
Roy Friedman,Achour Mostéfaoui,P
Sergio Rajsbaum,Achour Mostéfaoui,N
Alexander Zelikovsky,Achour Mostéfaoui,N
Jacob Buur,Achour Mostéfaoui,N
Lydia Plowman,Achour Mostéfaoui,N
Friedrich T. Sommer,Ad Aertsen,P
Stefan Rotter,Ad Aertsen,N
Thomas Wennekers,Ad Aertsen,P
Patrick Thiran,Ad Aertsen,N
Dhabaleswar K. Panda,Ad Aertsen,N
Aluizio F. R. Araújo,Ad M. G. Peeters,N
Lidia Fuentes,Ad M. G. Peeters,N
Toshihide Ibaraki,Ad M. G. Peeters,N
Peter Buchholz 0001,Ad M. G. Peeters,N
Jens Palsberg,Ad M. G. Peeters,N
Jari Veijalainen,Ada Wai-Chee Fu,P
Jaap Hage,Ada Wai-Chee Fu,N
Russell Bent,Ada Wai-Chee Fu,N
Christoph Rücker,Adalbert Kerber,N
Aniruddha S. Gokhale,Adam A. Porter,P
Douglas C. Schmidt,Adam A. Porter,P
José Manuel Pardo,Adam A. Porter,N
Andrzej Swierniak,Adam Czornik,N
Bryan A. Baum,Adam Czornik,N
Jason L. Dedrick,Adam Czornik,N
Mary R. Thompson,Adam Czornik,N
Jenq-Neng Hwang,Adam D. Smith,N
Markus Werner,Adam D. Smith,N
Shuvra S. Bhattacharyya,Adam Finkelstein,N
Albert Nijenhuis,Adam Finkelstein,N
C. Mani Krishna,Adam Finkelstein,N
Jaime Simão Sichman,Adam Finkelstein,N
Dawei Hong,Adam Finkelstein,N
Qi Shi,Adam Finkelstein,N
Eric K. Clemons,Adam Finkelstein,N
David Bodoff,Adam Finkelstein,N
R. Sritharan,Adam Finkelstein,N
Rommert Dekker,Adam Godzik,N
Laurent Hardouin,Adam Godzik,N
Michael Mealling,Adam Kalai,N
Sarnath Ramnath,Adam Kalai,N
James F. Reed,Adam Kalai,N
Xian-He Sun,Adam Krzyzak,N
Qing Li 0001,Adam Krzyzak,N
Martin L. Griss,Adam Krzyzak,N
Claire Kenyon,Adam L. Buchsbaum,P
Howard J. Karloff,Adam L. Buchsbaum,P
Michael T. Goodrich,Adam L. Buchsbaum,P
Suzanne D. Pawlowski,Adam L. Buchsbaum,N
Ivan Hal Sudborough,Adam L. Buchsbaum,P
Andrea Lodi 0001,Adam N. Letchford,P
Mark S. Nixon,Adam Prügel-Bennett,N
Wu Jigang,Adam Prügel-Bennett,N
Colin Eden,Adam Prügel-Bennett,N
Antony Galton,Adam Prügel-Bennett,N
Ying Miao,Adam R. Klivans,N
Toshio Nakatani,Adam R. Klivans,N
José Muñoz-Pérez,Adam R. Klivans,N
Paul Dupuis,Adam Shwartz,N
Hui Zhang,Adam Shwartz,N
Igor Jurisica,Adam Shwartz,N
Bruno Tuffin,Adam Shwartz,N
Ian D. Walker,Adam W. Hoover,N
Euntai Kim,Adam W. Hoover,N
Xose Manuel Pardo,Adam W. Hoover,N
Arnaud Doucet,Adam W. Hoover,N
Stephen T. C. Wong,Adam W. Hoover,N
Martin Reisslein,Adam Wolisz,N
Henrik Schulze,Adam Wolisz,N
Gerhard Widmer,Adam Wolisz,N
Javier Aracil,Adam Wolisz,N
Ying Miao,Adam Wolisz,N
Yue Zhang,Adarshpal S. Sethi,N
Shriram Krishnamurthi,Adel M. Aladwani,N
William B. Rouse,Adel M. Aladwani,N
Andy Schürr,Adhemar Bultheel,N
Haesun Park,Adhemar Bultheel,N
James B. Orlin,Adhemar Bultheel,N
Pao-Long Chang,Adhemar Bultheel,N
Wolf Zimmermann,Adhemar Bultheel,N
Jianwei Zhang 0001,Adhemar Bultheel,N
Kirk Martinez,Adi Rosén,N
Oscar H. Ibarra,Adi Rosén,P
Yuanqing Li,Adi Rosén,N
Elisabeth André,Admela Jukan,N
Pamela C. Cosman,Admela Jukan,N
Jerzy W. Grzymala-Busse,Admela Jukan,N
Peter Kabal,Adnan Al-Smadi,N
Jim Blythe,Adnan Amin,N
Ruth C. King,Adnan Amin,N
Koeng-Mo Sung,Adnan Amin,N
Jun Yuan,Adnan Aziz,P
Hong Qiao,Adnan Aziz,N
Pierre Marquis,Adnan Darwiche,N
Ram Narasimhan,Adnan Yazici,N
Harry G. Perros,Adnan Yazici,N
Alex Samorodnitsky,Adnan Yazici,N
Martin Haardt,Adolfo Steiger-Garção,N
Fabrizio Petrini,Adolfy Hoisie,P
Nikos A. Vlassis,Adolfy Hoisie,N
Hideo Kitajima,Adolfy Hoisie,N
Nitin H. Vaidya,Adolfy Hoisie,N
Nicholas J. Higham,Adolfy Hoisie,N
Dong Ho Park,Adolfy Hoisie,N
Hendrik Jan Hoogeboom,Adriaan A. Van de Griend,N
Olivier Esser,Adrian Dale,N
Jian Zhang,Adrian David Cheok,N
Kuntal Sengupta,Adrian David Cheok,N
Mark Billinghurst,Adrian David Cheok,N
Morten Hertzum,Adrian David Cheok,N
Xin Chen,Adrian David Cheok,N
Bert R. Boyce,Adrian David Cheok,N
Ichiro Suzuki,Adrian Dumitrescu,N
Joseph S. B. Mitchell,Adrian Dumitrescu,P
Ting Chen,Adrian Dumitrescu,N
Bani K. Mallick,Adrian Dumitrescu,N
Raouf N. Gorgui-Naguib,Adrian Dumitrescu,N
Jason L. Speyer,Adrian Friday,N
Sanjeev R. Kulkarni,Adrian Friday,N
Tapio Elomaa,Adrian Friday,N
Elizabeth Scott,Adrian Johnstone,P
Antonis Economou,Adrian Johnstone,N
Toshiaki Murofushi,Adrian Miles,N
Megha Singh,Adrian Miles,N
Mark A. Girolami,Adrian Munteanu 0001,N
Massimo Cafaro,Adrian Munteanu 0001,N
Andrea Mantler,Adrian Munteanu 0001,N
Isaac Meilijson,Adrian Munteanu 0001,N
James V. Burke,Adrian S. Lewis,N
Michael L. Overton,Adrian S. Lewis,N
Yaakov Kogan,Adrian S. Lewis,N
Rod Downey,Adrian S. Lewis,N
Robert Weismantel,Adrian S. Lewis,N
Karl G. Kempf,Adrian Segall,N
Takuo Suganuma,Adrian Segall,N
Chung-Ju Chang,Adrian Segall,N
Elsa L. Gunter,Adriana B. Compagnoni,N
Miguel Pasadas,Adriana B. Compagnoni,N
Bard Ermentrout,Adriana B. Compagnoni,N
Rohini K. Srihari,Adriana B. Compagnoni,N
Enrique Herrera-Viedma,Adriana B. Compagnoni,N
Hans G. Kerkhoff,Adriana B. Compagnoni,N
David G. Long,Adriano Camps,N
Carlo Combi,Adriano Peron,P
Massimo Franceschet,Adriano Peron,P
Mimmo Parente,Adriano Peron,P
Drena Dobbs,Adriano Peron,N
Richard Ennals,Adriano Peron,N
Oscar Cordón,Adrienne Muir,N
William B. Rouse,Adrienne Muir,N
Hans Weigand,Adrienne Muir,N
Jin-yi Cai,Aduri Pavan,P
David K. Y. Yau,Aduri Pavan,N
Jens-Rainer Ohm,Aduri Pavan,N
Jan Gulliksen,Aduri Pavan,N
Jeffrey M. Voas,Aduri Pavan,N
Peter Willett 0001,Aduri Pavan,N
Staal A. Vinterbo,Afonso Ferreira,N
V. Kumar,Afonso Ferreira,N
Alexander Maedche,Afonso Ferreira,N
Turgay Korkmaz,Afzaal H. Seyal,N
Raffaele Pesenti,Afzaal H. Seyal,N
Eisa A. Al-Said,Afzaal H. Seyal,N
Sylvie Corteel,Afzaal H. Seyal,N
Heinz Mühlenbein,Afzaal H. Seyal,N
Paul Wernick,Afzal Ballim,N
Akram Aldroubi,Afzal Ballim,N
Marcus Brunner,Afzal Ballim,N
George A. Gravvanis,Agapios N. Platis,N
Jon Atli Benediktsson,Agapios N. Platis,N
Kathrin Klamroth,Agapios N. Platis,N
Illah R. Nourbakhsh,Agapios N. Platis,N
Carlo Muscas,Agapios N. Platis,N
Andrew Rosenbloom,Agapios N. Platis,N
Jianping Wu,Agapios N. Platis,N
Junshan Zhang,Agapios N. Platis,N
Uwe Helmke,Agapios N. Platis,N
Ebroul Izquierdo,Aggelos K. Katsaggelos,P
Lisimachos P. Kondi,Aggelos K. Katsaggelos,P
Martin Bouchard,Aggelos K. Katsaggelos,N
Igor M. Verner,Aggelos K. Katsaggelos,N
Michael F. Worboys,Agnès Voisard,N
William I. Gasarch,Agnès Voisard,N
Charles R. Kalmanek,Agnès Voisard,N
Xinwei Liu,Agnès Voisard,N
Esfandiar Eslami,Agnès Voisard,N
Riccardo Focardi,Agostino Cortesi,N
Faramarz Fekri,Agostino Cortesi,N
Dimitris Bertsimas,Agostino Cortesi,N
Michael Picheny,Agostino Cortesi,N
Herman Bruyninckx,Agostino Cortesi,N
Gualtiero Piccinini,Agostino Cortesi,N
Carla Piazza,Agostino Dovier,P
Davide Rocchesso,Agostino Dovier,N
Raman Venkataramani,Agostino Dovier,N
Edda Leopold,Agostino Dovier,N
Mostafa H. Ammar,Agostino Dovier,N
Tetsuya Matsumoto,Ah Chung Tsoi,N
Jason P. Jue,Ah Chung Tsoi,N
Laxmi Parida,Ah Chung Tsoi,N
Rui T. Valadas,Ah Chung Tsoi,N
Francesc Rosselló,Ah Chung Tsoi,N
Churn-Jung Liau,Ah-Hwee Tan,N
Gleb Naumovich,Ah-Hwee Tan,N
Brian Henderson-Sellers,Ah-Hwee Tan,N
Amparo Fúster-Sabater,Ah-Hwee Tan,N
Yonina C. Eldar,Aharon Ben-Tal,N
John Sum,Aharon Ben-Tal,N
Petros A. Ioannou,Aharon Ben-Tal,N
Henrik Hautop Lund,Ahmad A. Hiasat,N
Forouzan Golshani,Ahmad A. Hiasat,N
Katharina T. Huber,Ahmad B. Rad,N
Marc L. Resnick,Ahmad B. Rad,N
Rolf S. Rees,Ahmad B. Rad,N
Robert F. Easley,Ahmad B. Rad,N
Dmitrii Lozovanu,Ahmad B. Rad,N
Jianmin Zheng,Ahmad H. Nasri,N
Thomas W. Sederberg,Ahmad H. Nasri,N
Nathan Linial,Ahmad H. Nasri,N
François Baccelli,Ahmed A. Rafea,N
Sunghyun Choi,Ahmed A. Rafea,N
Peter H. N. de With,Ahmed A. Rafea,N
William Adams,Ahmed A. Rafea,N
Ji-Huan He,Ahmed Amine Jerraya,N
D. K. Subramanian,Ahmed Amine Jerraya,N
Lung-Wen Tsai,Ahmed Amine Jerraya,N
Parosh Aziz Abdulla,Ahmed Bouajjani,P
San-Yih Hwang,Ahmed Bouajjani,N
M. V. C. Rao,Ahmed Bufardi,N
Sheshayya A. Choudum,Ahmed Bufardi,N
Daniel Berleant,Ahmed E. Kamal,N
James F. Peters,Ahmed E. Kamal,N
Pravin Varaiya,Ahmed E. Kamal,N
Hung-Min Sun,Ahmed E. Kamal,N
Raphaël Visoz,Ahmed E. Kamal,N
Ali N. Akansu,Ahmed H. Tewfik,N
Mostafa Kaveh,Ahmed H. Tewfik,P
Pierre Moulin,Ahmed H. Tewfik,N
Thomas J. Richardson,Ahmed H. Tewfik,N
Rachid Guerraoui,Ahmed H. Tewfik,N
Achille Pattavina,Ahmed Helmy,N
Chungnan Lee,Ahmed Helmy,N
V. Daniel R. Guide Jr.,Ahmed Helmy,N
Pedro C. Marijuán,Ahmed Helmy,N
Wayne D. Gray,Ahmed Helmy,N
Isaac Levi,Ahmed Helmy,N
Ravi Kumar 0001,Ahmed K. Elhakeem,N
Anne H. H. Ngu,Ahmed K. Elmagarmid,P
Athena Vakali,Ahmed K. Elmagarmid,N
Athman Bouguettaya,Ahmed K. Elmagarmid,P
Boualem Benatallah,Ahmed K. Elmagarmid,P
Elena Ferrari,Ahmed K. Elmagarmid,P
Mohand-Said Hacid,Ahmed K. Elmagarmid,N
Tiziana Catarci,Ahmed K. Elmagarmid,N
Xindong Wu 0001,Ahmed K. Elmagarmid,N
Yücel Saygin,Ahmed K. Elmagarmid,P
Chunhua Feng,Ahmed K. Elmagarmid,N
Toshio Aoyagi,Ahmed K. Elmagarmid,N
Horst Oberquelle,Ahmed K. Elmagarmid,N
Ali K. Kamrani,Ahmed M. A. El-Sayed,N
Menahem Friedman,Ahmed M. A. El-Sayed,N
Shichao Zhang,Ahmed M. A. El-Sayed,N
David B. Lowe,Ahmed M. A. El-Sayed,N
Jianhong Wu,Ahmed M. M. Khodier,N
Toshimitsu Ushio,Ahmed M. M. Khodier,N
Yannis Manoussakis,Ahmed Patel,N
Weimin Zheng,Ahmed Patel,N
Harriet J. Nock,Ahmed Patel,N
Kamal Premaratne,Ahmed Patel,N
Letizia Leonardi,Ahmed Patel,N
Pertti Vainikainen,Ahmed Patel,N
Jan Pries-Heje,Ahmed S. Elwakil,N
Kai Reimers,Ahmed S. Elwakil,N
Shahram Ghandeharizadeh,Ahmed S. Elwakil,N
Bert Wijnen,Ahmed S. Elwakil,N
Christian Mira,Ahmed S. Elwakil,P
Jan M. Rabaey,Ahmed Seffah,N
Thomas A. Manteuffel,Ahmed Seffah,N
Frank L. Lewis,Ahmet Arslan,N
Edward J. Delp,Ahmet M. Eskicioglu,P
Stephan Brandt,Ahmet M. Eskicioglu,N
Mohamed F. Younis,Ahmet M. Eskicioglu,N
Iris Vessey,Ai-Chun Pang,N
Mark Schroeder,Ai-Chun Pang,N
Tomas Sauer,Ai-Chun Pang,N
Lewis M. Mackenzie,Ai-Chun Pang,N
Jian Pei,Aidong Zhang,P
Shirley Ann Becker,Aidong Zhang,N
Jim X. Chen,Aiichiro Nakano,N
Wei Zhao,Aiichiro Nakano,N
Leif Kobbelt,Aiichiro Nakano,N
Christopher D. Carothers,Aiichiro Nakano,N
Paola Mello,Ajay D. Kshemkalyani,N
Roberto Kawakami Harrop Galvão,Ajay D. Kshemkalyani,N
Zhili Sun,Ajay Divakaran,N
Alain Denise,Ajay Divakaran,N
Marco Viceconti,Ajay Divakaran,N
Gary J. Sullivan,Ajay Luthra,N
Thomas Wiegand,Ajay Luthra,N
Robert P. Colwell,Ajay Luthra,N
Christoph Lindemann,Ajay Luthra,N
Fangzhen Lin,Ajay Luthra,N
Paul L. Bowen,Ajay Luthra,N
Martin Karplus,Ajay S. Vinze,N
José A. Moreno-Pérez,Ajay S. Vinze,N
Sébastien Tixeuil,Ajoy Kumar Datta,P
Shotaro Akaho,Ajoy Kumar Datta,N
Amnon Meisels,Ajoy Kumar Datta,N
Frank Leymann,Ajoy Kumar Datta,N
Reinhard Klein,Ajoy Kumar Datta,N
Ke Liu,Akbar M. Sayeed,N
Robert W. Heath Jr.,Akbar M. Sayeed,N
V. Ramachandran,Akbar M. Sayeed,N
Pierre McKenzie,Akbar M. Sayeed,N
Simon Haykin,Akbar M. Sayeed,N
Mikhail H. Klin,Akbar Zaheer,N
Eli Upfal,Akbar Zaheer,N
David Hansel,Akbar Zaheer,N
Jacques Wainer,Akhil Kumar 0001,N
Henri Prade,Akhil Kumar 0001,N
Albrecht Schmidt 0001,Akhil Kumar 0001,N
Aruna Seneviratne,Akhil Kumar 0001,N
Sunder Kekre,Akhilesh Bajaj,N
Bogdan Gabrys,Akhilesh Bajaj,N
Mark Sanderson,Akhilesh Chandra,N
David G. Goodenough,Akifumi Makinouchi,N
Shahram Payandeh,Akihiro Kanamori,N
Marios C. Papaefthymiou,Akihiro Kanamori,N
Enrico Zanoni,Akihiro Kanamori,N
Jotun Hein,Akihiro Kanamori,N
Eiichi Bannai,Akihiro Munemasa,P
Matteo Baldoni,Akihiro Munemasa,N
Ryan Kastner,Akihiro Munemasa,N
Mario Rodríguez-Artalejo,Akihiro Munemasa,N
Stephen G. Simpson,Akihisa Tamura,N
Mauricio Osorio 0001,Akihisa Tamura,N
Hidefumi Kobatake,Akinobu Shimizu,P
Fan Wang,Akinobu Shimizu,N
Cong-hua Yan,Akinobu Shimizu,N
Baining Guo,Akinori Sarai,N
Bernard Boigelot,Akinori Sarai,N
Chein-Wei Jen,Akinori Sarai,N
Edward W. Knightly,Akinori Sarai,N
AnHai Doan,Akinori Sarai,N
Federico Fontana,Akinori Sarai,N
Giorgio Picci,Akinori Sarai,N
Arjan Durresi,Akio Koyama,N
Zixue Cheng,Akio Koyama,P
Sven Axsäter,Akio Koyama,N
Jibin Li 0001,Akira Hiraki,N
Rafik A. Goubran,Akira Hiraki,N
Takahiro Hara,Akira Hirose,N
Mark Christiaens,Akira Hirose,N
Laurent Wendling,Akira Hirose,N
